,Original,Summary
12894,Gratis ongkir nya tolong perbaiki  ngenalin tokopedia  hilang gratis ongkir nya ,ngenalin tokopedia  hilang gratis ongkir nya 
12895,bagus,bagus
12896,Trims bermanfaat,Trims bermanfaat
12897,gak ngarti oppo yg beli dipasar  beli Toko samsung 2 dah hancur  wifi disuruh matiin hidupin terusan  pin bank mainan berubah  nyadar grab berubah email,pin bank mainan berubah  nyadar grab berubah email
12898,mudah  murah  muantappp,mudah  murah  muantappp
12899,bagus,bagus
12900,Aplikasi ribet gak kayak  eror  voucer gratis ongkir syarat gak kayak toko sebelah  embel embel nya sekrg gak kayak pake bagus  Sekrg gak bagus  PR nya kalah SM aplikasi sebelah ungu si Oren ,Sekrg gak bagus 
12901,Mantap,Mantap
12902,bagus,bagus
12903,Gk biso cod cocod,Gk biso cod cocod
12904,jozz siipp bozz,jozz siipp bozz
12905,Pilihan kurir 1  silambat   Ga plihan  paket diambil agenalfaindomart   pndah shopee niatnya mo ngedukung ekosistem ecommerce lokal  Tp kalo dkecewain gini ya otomatis puter dah  Pengembang sering2 check out lapak pesaing  scroll2 aja ,scroll2 aja 
12906,APLIKASI SCAM    PENARIKAN SALDO GAGAL BERULANG KALI    DIPOTONG BIAYA  GONTA GANTI REKENING  GA TUH PENARIKAN SUKSES    KETERANGAN SUKSES  JAM GAGAL    LUCU APLIKASI  MASUK TINDAK KECURANGAN    MANIPULASI SALDO    CHAT CS GAK HASIL APAPUN     KALO UPLOAD GAMBAR  UPLOAD BIAR BARANG BUKTI   ,MANIPULASI SALDO   
12907,bagus,bagus
12908,tokped pengiman kurirnya lama2,tokped pengiman kurirnya lama2
12909,terbaik,terbaik
12910,mantul ,mantul 
12911,pelayanan buruk  beli barang refund dana ,beli barang refund dana 
12912,Pelayanan penanganan komplain marketplace terbawah dibanding marketplace,Pelayanan penanganan komplain marketplace terbawah dibanding marketplace
12913,bikin heran  harga barang Tokopedia harganya perbedaannya toko sebelah ya  barang beli jenis mereknya  harganya murah sebelah,barang beli jenis mereknya  harganya murah sebelah
12914,Bagus aplikasi nya,Bagus aplikasi nya
12915,Upgd susah,Upgd susah
12916,HAPUS SICEPAT JASA KURIR LEMOT MASAK IYA DIEM SEHARI DITEMPAT NGGAK NGAPA NGAPAINPADAHAL GUA BELI BARANG YG DATANGNYA NGGAK BARENG ANEHHHHH NGGENNNTTTTT,HAPUS SICEPAT JASA KURIR LEMOT MASAK IYA DIEM SEHARI DITEMPAT NGGAK NGAPA NGAPAINPADAHAL GUA BELI BARANG YG DATANGNYA NGGAK BARENG ANEHHHHH NGGENNNTTTTT
12917,gk fitur cod nya  joss,gk fitur cod nya  joss
12918,voucher diskon cashback tdk berbarengan gratis ongkir  memilih salah satunya  voucher diskoncashback gratis ongkir ,memilih salah satunya  voucher diskoncashback gratis ongkir 
12919,Top up emoney blm masuk  toped bilangnya masuk  Jelek kesannya kaya nipu  Komplain cs balasnya lamaaaa,Komplain cs balasnya lamaaaa
12920,TOKOPEDIA RAJA GIMMICK RAJA TIPU TIPU  CASHBACK 180K GA MASUK MELANGGAR SK  pas debat pelanggaran lakukan diam membatu  CS fb ama tokpednya aja ,TOKOPEDIA RAJA GIMMICK RAJA TIPU TIPU  CASHBACK 180K GA MASUK MELANGGAR SK  pas debat pelanggaran lakukan diam membatu  CS fb ama tokpednya aja 
12921,i like,i like
12922,Mantap ,Mantap 
12923,,
12924,Kalo masuk keranjang gk ya  beranda  Mohon perbaikannya,beranda 
12925,mantab,mantab
12926,update bagus apliksai tokopedia  membantu transaki bebagai ikon layanan,update bagus apliksai tokopedia  membantu transaki bebagai ikon layanan
12927,mantap pakai payletter respon cepat,mantap pakai payletter respon cepat
12928,Appnya bagus kali pake  beli barang elektronik mesuaskan sesuai yg dengar kalo beli barang2 elektronik murah berani ngasih jaminan murah KERENNN,Appnya bagus kali pake  beli barang elektronik mesuaskan sesuai yg dengar kalo beli barang2 elektronik murah berani ngasih jaminan murah KERENNN
12929,respon cepat,respon cepat
12930,terbaik,terbaik
12931,TOKOPEDIA COBA NTAR BAGUS OLSHOP BINTANG ,TOKOPEDIA COBA NTAR BAGUS OLSHOP BINTANG 
12932,errornya skrng jd gk kebuka,errornya skrng jd gk kebuka
12933,mantulll,mantulll
12934,Ongkir murah cepat,Ongkir murah cepat
12935,beli pulsa berhasil udah bayar  didalam keterangan udah udah dana  cek dananya dikembalikan  mohon Tokopedia tolong udah kali kek gini keterangan udah dikembalikan dana nya cek rek gk,beli pulsa berhasil udah bayar  didalam keterangan udah udah dana  cek dananya dikembalikan  mohon Tokopedia tolong udah kali kek gini keterangan udah dikembalikan dana nya cek rek gk
12936,bismillah,bismillah
12937,Tdk Tau komen Aplikasi Seller ya  bintangnya dikasih 5 skrg 2  Krn protes2 Tokped Care ga dijwb hik ga berani ngomong takut dituntut pidana perdata UU ITE  ngenes  Pokoknya sdh disindir berat Black Paradise 23Jan23  Hub Kopi  Bogor           Ulasan Old  mestinya aplikasi bagus sayang handphone level  tdk memori utk pakai tokopedia  10 th    terhapus ,Ulasan Old  mestinya aplikasi bagus sayang handphone level  tdk memori utk pakai tokopedia 
12938,JELEK KETIPU,JELEK KETIPU
12939,Mending apk sebelah,Mending apk sebelah
12940,Pelayanan komplainnya bagus  bagus  komplain nya kali  pengalaman diantar paket salah  dikomplain nya proses nya lambat,Pelayanan komplainnya bagus  bagus  komplain nya kali  pengalaman diantar paket salah  dikomplain nya proses nya lambat
12941,ttp menjaga keamanan penjual pembeli,ttp menjaga keamanan penjual pembeli
12942,Tolong privasi nomor disebar bos  mengganggu,Tolong privasi nomor disebar bos  mengganggu
12943,good job,good job
12944,Ok,Ok
12945,Asu aplikasi,Asu aplikasi
12946,butuh pembelian cod promo  Sayangnya toko ijo  Pembelian promo pembayaran  Mangkannya sepi  Coba aja kaya si oren  Pakai promo bayar cod ,Pakai promo bayar cod 
12947,ok,ok
12948,Aplikasi tokopedia fersi diedarkan  app tokopedia tupang tindih eror transaksi pembayaran memakai saldo tokopadia bleng  Tolong app tokopedia perbaiki,Tolong app tokopedia perbaiki
12949,bagus,bagus
12950,Apk bagus  oren,Apk bagus  oren
12951,kesini  eror,kesini  eror
12952,bintang 5,bintang 5
12953,oke mantap,oke mantap
12954,mantap puas,mantap puas
12955,kasih bintang 4 tolong perbaiki pengiriman via nexday kadang terlewat estimasi update status pengiriman nomor resi invalid dilacak,kasih bintang 4 tolong perbaiki pengiriman via nexday kadang terlewat estimasi update status pengiriman nomor resi invalid dilacak
12956,Bug gak tracking live gosend,Bug gak tracking live gosend
12957,proses bayar  khawatir diulang double pesan,proses bayar  khawatir diulang double pesan
12958,Malas pake TOPED  GRATIS ONGKIR,Malas pake TOPED  GRATIS ONGKIR
12959,Best ECommerce  but pengembalian dana debit langsung  jago ,Best ECommerce  but pengembalian dana debit langsung  jago 
12960,Estimasinya tokped  auto males pake tokped mending lazada  shopee,Estimasinya tokped  auto males pake tokped mending lazada  shopee
12961,cepat terpercaya,cepat terpercaya
12962,Tokopedia transaksi COD pake si cepat Nama doank si cepat Paket tgl 13 dah smpe 1 kota Smpe tgl 14 msh belom terima Kbanyakan transit Nama doank si cepat  pngiriman Msh mnding JNE  JNT kalo ga Ninja,Tokopedia transaksi COD pake si cepat Nama doank si cepat Paket tgl 13 dah smpe 1 kota Smpe tgl 14 msh belom terima Kbanyakan transit Nama doank si cepat  pngiriman Msh mnding JNE  JNT kalo ga Ninja
12963,good aplikasi,good aplikasi
12964,Mahal asw,Mahal asw
12965,pay later semangat,pay later semangat
12966,bagus,bagus
12967,Semoga kedepannya fitur Tokopedia seru asyik kayak,Semoga kedepannya fitur Tokopedia seru asyik kayak
12968,Nice,Nice
12969,suka transfer langsung  hati hati  karenakan toko memproses pesanan  Tokopedia langsung membatalkan transaksi langsung uang masuk saldo Tokopedia tarik uang saldo  ngg       pemberitahuan dana tahan   Ealaaahh  uang 15 juta aja dah berani nahan uang orang    uang qw  tahan toko pedia   Hati2,pemberitahuan dana tahan   Ealaaahh  uang 15 juta aja dah berani nahan uang orang    uang qw  tahan toko pedia   Hati2
12970,Tolong dibperbaiki ga visa live tracking,Tolong dibperbaiki ga visa live tracking
12971,good,good
12972,Saldo tertahan  respon Pusban gak direspon  Penipuan ya  Pusban aja gak direspon,Penipuan ya  Pusban aja gak direspon
12973,tukar HP  gak cek fungsi HP nih  Tolong diperbaiki aplikasinya Min ,tukar HP  gak cek fungsi HP nih  Tolong diperbaiki aplikasinya Min 
12974,Tokped tolong riwayat pengiriman nya selesai hapus  rahasia,Tokped tolong riwayat pengiriman nya selesai hapus  rahasia
12975,Oke,Oke
12976,2023 Pengiriman Tokopedia Kayak Keong,2023 Pengiriman Tokopedia Kayak Keong
12977,good membantu,good membantu
12978,menyenangkan belanja ,menyenangkan belanja 
12979,3 dl  nunggu barang,3 dl  nunggu barang
12980,Kaos Polos Cotton Combed 30s Premium 100  Cotton ,Kaos Polos Cotton Combed 30s Premium 100  Cotton 
12981,Goodd ,Goodd 
12982,Pelayanan jelek  pencairan dana  cs nya lemot  belanjaan ilang duit Angus TERIMA KASIH,Pelayanan jelek  pencairan dana  cs nya lemot  belanjaan ilang duit Angus TERIMA KASIH
12983,belanja aman mudah,belanja aman mudah
12984,Belanja online terjamin ,Belanja online terjamin 
12985,top,top
12986,salam aspal,salam aspal
12987,membantu,membantu
12988,,
12989,kecewa aplikasi toko pedia mengirim foto ulasan barang  Harap perbaiki  up date  alasan gangguan Tokopedia ,alasan gangguan Tokopedia 
12990,Coba deh benerin layanan customer care nya  sumpah gk solutif bgd   ,
12991,Ngaco ga promo ,Ngaco ga promo 
12992,Tokopedia terbaik   ,
12993,I Meen Bagus Apk Nya Jual Beli Barang Ongkir Nya Terjangkau,I Meen Bagus Apk Nya Jual Beli Barang Ongkir Nya Terjangkau
12994,Tokopedia sptnya hubungan aplikasi android system webview  pakai fitur kartu diarahkan playstore aplikasi android system webview  update   update aplikasi ASW nya  aja ngelag  pencet tombol kartu langsung diarahin aplikasi ASW nya,pakai fitur kartu diarahkan playstore aplikasi android system webview  update   update aplikasi ASW nya  aja ngelag  pencet tombol kartu langsung diarahin aplikasi ASW nya
12995,mantap,mantap
12996,mantap,mantap
12997,kirim barang sidoajo jombang pake si cepat  barang udah sampek status gak berubah  dinyatakan hilang  udah claim barang hilang berbelit tokopedia  aduh nominal lumayan ya jualan  tolong cs bales kayak robot ngeyel  udh masuk pusat resolusi diganti tanggal 13 februari diganti uangnya  cs gada,barang udah sampek status gak berubah 
12998,Saldo Tokopedia tertahan ditarik belanjakan  licik,licik
12999,mudah berbelanja kpnpun  ,mudah berbelanja kpnpun  
13000,kali belanja tokopedia promo  mantap,kali belanja tokopedia promo  mantap
13001,pake beli barang  aplikasi munfaik  cek kartu  cek kartu  bodoh,pake beli barang  aplikasi munfaik  cek kartu  cek kartu  bodoh
13002,aplikasi baguss,aplikasi baguss
13003,Kureng,Kureng
13004,kece,kece
13005,bagus,bagus
13006,Admin help center ga solusi terbaik,Admin help center ga solusi terbaik
13007,bagus,bagus
13008,nembantu,nembantu
13009,mantap apl,mantap apl
13010,ioss,ioss
13011,tokped pengirimannya ga kayak dlu  Msen makanan kota ga sampeklo ekspedisi ganti meningkatkan pengiriman,Msen makanan kota ga sampeklo ekspedisi ganti meningkatkan pengiriman
13012,Suka Hatimu Ubah Estimasi Yaa,Suka Hatimu Ubah Estimasi Yaa
13013,Udah Ga sebagus potongan seller 45  Buset nyecek leher Geser BL dah,Udah Ga sebagus potongan seller 45  Buset nyecek leher Geser BL dah
13014,,
13015,bagus,bagus
13016,update sekatang fitur pencariannya berantakan  sesuai daftar pencariannya  susah  cari barangnya sesui pencarian  susuah toko sebelah ,susuah toko sebelah 
13017,biaya admin pelit cashback gratis ongkir ya trimksih selamat tinggal tokped ,biaya admin pelit cashback gratis ongkir ya trimksih selamat tinggal tokped 
13018,informasi membantu,informasi membantu
13019,mantapppppp,mantapppppp
13020,Ribet mnding shope,Ribet mnding shope
13021,Aneh Bikin Emosi Aplikasinya Buka Bikin Hp Hang Eror Bug Aplikasinya Produk Barang Keranjang Hilang ,Aneh Bikin Emosi Aplikasinya Buka Bikin Hp Hang Eror Bug Aplikasinya Produk Barang Keranjang Hilang 
13022,RETUR TERNAJIS NUNGGU HR UTK PICKUP TP UD BERHARI2 GA DIPICKUP JG    HATI2 KLO TRANSAKSI TOPED WATSONS   SDH 2X AJA TRANSAKSI WATSONS DICURANGIN TOPED SGT BERTELE2 DLM RETUR  6HR 6MLM GW DISURUH NUNGGU KURIR ANTERAJA YG GA DTG2  LO PIKIR KERJAAN GW NUNGGUIM KURIR DOANK   RETUR RECEH AJA WATSONS GA SANGGUP KSH SOLUSI  TERPARAH KAPOK BELANJA LG DITOPED  WATSONS   ,SDH 2X AJA TRANSAKSI WATSONS DICURANGIN TOPED SGT BERTELE2 DLM RETUR 
13023,Still Good,Still Good
13024,bagus,bagus
13025,ok,ok
13026,Coba2,Coba2
13027,Bagus,Bagus
13028,aq suka,aq suka
13029,complaine tokped care pengiriman yg keliru note nota pembelian tdk bantuan tokped care  penjual yg bela  fitur note halaman barang tdk efektif yg mengakibatkan pembeli kebingungan salah mencamtumkan barang yg dipesan ,complaine tokped care pengiriman yg keliru note nota pembelian tdk bantuan tokped care  penjual yg bela  fitur note halaman barang tdk efektif yg mengakibatkan pembeli kebingungan salah mencamtumkan barang yg dipesan 
13030,Keseringan ngurangin skor Jd seller rugi,Keseringan ngurangin skor Jd seller rugi
13031,Barang murah murah,Barang murah murah
13032,bug update  buka app  searching product  pesan  notif  keranjang  masuk refresh  Samsung note 10  internet aman ,buka app 
13033,Tokopedia mempermudah belanja  belanja mudah,Tokopedia mempermudah belanja  belanja mudah
13034,membantu,membantu
13035,Barang diterima dgn,Barang diterima dgn
13036,top,top
13037,mudah cepat,mudah cepat
13038,mantap  promo nya,mantap  promo nya
13039,Paket ku kemana  member  sampe ingetin suruh belanja tokpednya  pindah aja ,Paket ku kemana  member  sampe ingetin suruh belanja tokpednya  pindah aja 
13040,Tokopedia toko lengkap murah,Tokopedia toko lengkap murah
13041,terbaookkkkkkkk pisan,terbaookkkkkkkk pisan
13042,good job,good job
13043,pake tokped  transaksi batalin   rugi deh byar jasa d indomart  hadeeeee,pake tokped  transaksi batalin   rugi deh byar jasa d indomart  hadeeeee
13044,simple praktis  semoga,simple praktis  semoga
13045,bagus aplikasi,bagus aplikasi
13046,𝓢𝓪𝔂𝓪 𝓼𝓾𝓴𝓪 𝓭𝓮𝓷𝓰𝓪𝓷 𝓽𝓸𝓴𝓸 𝓹𝓮𝓭𝓲𝓪 𝓲𝓷𝓲 𝓴𝓪𝓻𝓷𝓪 𝓴𝓪𝓵𝓸 𝓴𝓲𝓽𝓪 𝓶𝓪𝓾 𝓹𝓮𝓼𝓪𝓷 𝓪𝓹𝓪 𝓪𝓹𝓪 𝓹𝓪𝓼𝓽𝓲 𝓪𝓭𝓪 𝓹𝓸𝓴𝓸𝓴 𝓷𝔂𝓪 𝓴𝓸𝓶𝓹𝓲𝓽 𝓭𝓮𝓱 𝓶𝓪𝓴𝓪 𝓭𝓪𝓻𝓲 𝓲𝓽𝓾 𝓪𝓴𝓾 𝓴𝓪𝓼𝓲𝓱 𝓫𝓲𝓷𝓽𝓪𝓷𝓰 5,𝓢𝓪𝔂𝓪 𝓼𝓾𝓴𝓪 𝓭𝓮𝓷𝓰𝓪𝓷 𝓽𝓸𝓴𝓸 𝓹𝓮𝓭𝓲𝓪 𝓲𝓷𝓲 𝓴𝓪𝓻𝓷𝓪 𝓴𝓪𝓵𝓸 𝓴𝓲𝓽𝓪 𝓶𝓪𝓾 𝓹𝓮𝓼𝓪𝓷 𝓪𝓹𝓪 𝓪𝓹𝓪 𝓹𝓪𝓼𝓽𝓲 𝓪𝓭𝓪 𝓹𝓸𝓴𝓸𝓴 𝓷𝔂𝓪 𝓴𝓸𝓶𝓹𝓲𝓽 𝓭𝓮𝓱 𝓶𝓪𝓴𝓪 𝓭𝓪𝓻𝓲 𝓲𝓽𝓾 𝓪𝓴𝓾 𝓴𝓪𝓼𝓲𝓱 𝓫𝓲𝓷𝓽𝓪𝓷𝓰 5
13047,Bagus banget,Bagus banget
13048,ok,ok
13049,Pemesan kurir jemput ulang Besok udah 2x aneh banget expedisinya,Pemesan kurir jemput ulang Besok udah 2x aneh banget expedisinya
13050,Tolong tingkatkan,Tolong tingkatkan
13051,Pusat resolusi buruk,Pusat resolusi buruk
13052,thanks  good,thanks  good
13053,puas pake tokopedia,puas pake tokopedia
13054,Terima Kasih,Terima Kasih
13055,Mending gak pakai ekspedisi sicepat paket sdh kota tujuan gak anter sdh 2hari,Mending gak pakai ekspedisi sicepat paket sdh kota tujuan gak anter sdh 2hari
13056,GRATIS ONGKIR  CASHBACK GABISA DIGABUNG  DILAYANI TOKOPEDIA TETEP KENA ONGKIR  SKIP ,DILAYANI TOKOPEDIA TETEP KENA ONGKIR  SKIP 
13057,Good,Good
13058,Oke,Oke
13059,bagus,bagus
13060,berat bner,berat bner
13061,ajar  pilih pembayaran teros  alesannya sinyal buruk bagus,ajar  pilih pembayaran teros  alesannya sinyal buruk bagus
13062,good,good
13063,Bagus,Bagus
13064,oke,oke
13065,aplikasi pantau respon pelanggan komplain  toko udah rating nya buruk  respon penjual buruk  utk menghindari kecewa pelanggan  toko blacklist aja  Kasihan toko yg niat bener usaha kalo customer kapok belanja online,Kasihan toko yg niat bener usaha kalo customer kapok belanja online
13066,Sekedar saran keranjang nya mudah menyortir barang,Sekedar saran keranjang nya mudah menyortir barang
13067,mantap,mantap
13068,Terimakasih,Terimakasih
13069,Tokopedia nggak kaya apps yg skrg rame gitu  Si Laz si Tok  champaign gede2 diskonpotongangratis ongkir  oleng yg gegara perbandingan harga yg,oleng yg gegara perbandingan harga yg
13070,proses penjualnya  ga update system pengiriman  ga deh belanja tokped,proses penjualnya  ga update system pengiriman  ga deh belanja tokped
13071,Kalo buka web gangguan rumah tokped  Kasihan ya,Kasihan ya
13072,Mantap,Mantap
13073,mantap ,mantap 
13074,Aplikasi eror  hambatan kedatangan barang,Aplikasi eror  hambatan kedatangan barang
13075,transaksi udah dibatalkan  sungguh mengecewakan,transaksi udah dibatalkan  sungguh mengecewakan
13076,mencoba pelayanan bagus bintang nya,mencoba pelayanan bagus bintang nya
13077,Tokped asu,Tokped asu
13078,mantap,mantap
13079,Tokopedia lambat,Tokopedia lambat
13080,bagus banget,bagus banget
13081,mantab,mantab
13082,Tracking pengiriman instant lakukan alihkan update aplikasi android system webview yg update terbaru,Tracking pengiriman instant lakukan alihkan update aplikasi android system webview yg update terbaru
13083,promo cashback gopay coin  ngga terima cashback  kocak battttt,promo cashback gopay coin  ngga terima cashback  kocak battttt
13084,bagus,bagus
13085,Gak pembayaran ,Gak pembayaran 
13086,Males boot Mulu bales Tokopedia carenya,Males boot Mulu bales Tokopedia carenya
13087,sukses,sukses
13088,Kasih bintang 1 tiba2 cek live tracking  Mohon perbaiki  Pas cek tracking tiba2 suruh update  Sistem web pdhl sistem web terbaru ,Pas cek tracking tiba2 suruh update 
13089,bug ni populer search  masuk detail toko section flash sale gak buka detail lengkapnya,masuk detail toko section flash sale gak buka detail lengkapnya
13090,tlsf Lowoganl pi,tlsf Lowoganl pi
13091,lamban pengiriman  4 produk 10 gak  udh males ya belanja tokoped karna pelayanan nya gk memuaskan,lamban pengiriman  4 produk 10 gak  udh males ya belanja tokoped karna pelayanan nya gk memuaskan
13092,kesini ngaco kurir nya SI CEPAT update telat pengiriman Ganti aja,kesini ngaco kurir nya SI CEPAT update telat pengiriman Ganti aja
13093,Pesanan dibatalkan gara gara tuduhan terbukti tetep kepotong uang admin  p,Pesanan dibatalkan gara gara tuduhan terbukti tetep kepotong uang admin  p
13094,cantik molek,cantik molek
13095,,
13096,dituduh pelanggaran manipulasi dll,dituduh pelanggaran manipulasi dll
13097,Sio,Sio
13098,Bagus,Bagus
13099,berbelanja d tokopedia simple and happy,berbelanja d tokopedia simple and happy
13100,bagus begtu ya,bagus begtu ya
13101,Kecewa toko pedia turunin bintang  pengiriman  paket ajak keliling2 indonesia kayanya  kecewa,Kecewa toko pedia turunin bintang  pengiriman  paket ajak keliling2 indonesia kayanya  kecewa
13102,Tolong donk buka Toko Folow gak buka menu nya cepat perbaiki,Tolong donk buka Toko Folow gak buka menu nya cepat perbaiki
13103,pelayanan terbaik kecewain  sukses tokopedia,pelayanan terbaik kecewain  sukses tokopedia
13104,mantap,mantap
13105,baguslah,baguslah
13106,ONLINE SHOP KAYAK BABI,ONLINE SHOP KAYAK BABI
13107,mohon diperbaiki sistem tracking gojek app krn update google webview  sy update terbaru google  sy coba versi web nya aman2,sy coba versi web nya aman2
13108,susah top up nya,susah top up nya
13109, ,
13110,belanja kebutuhan gampang,belanja kebutuhan gampang
13111,Mantap,Mantap
13112,ok,ok
13113,mantab,mantab
13114,Ggoood,Ggoood
13115,Ngasih Promo pulsanya ga ikhlas nih tokped  Disc 12000 utk min  Pembelian pulsa 15000  beli transaksi gagalkan tokped Mohon diperbaiki ya  ,Disc 12000 utk min 
13116,good,good
13117,Mantap  Aplikasi Ringan Gesit,Mantap  Aplikasi Ringan Gesit
13118,nyaman toko pedia 5 kebelakan akhir2 kecewa ko pembelian pake gratis ongkir aneh ribet pembelian nya via transfer,nyaman toko pedia 5 kebelakan akhir2 kecewa ko pembelian pake gratis ongkir aneh ribet pembelian nya via transfer
13119,baguussss,baguussss
13120,ijo ijo,ijo ijo
13121,nice,nice
13122,Skrg tdk ok  Krn bebas ongkir nombok jg,Skrg tdk ok  Krn bebas ongkir nombok jg
13123,the best,the best
13124,Alhamdulillah Terimakasih,Alhamdulillah Terimakasih
13125,Jujur kecewa sistem resolusi marketplace  barang hilang gak diganti rugi full  Alesan pakai kupon belanja dana refund dipotong kupon belanja gak dikembalikan    Sistem   marketplace barang hilang diganti semuakupon belanjanya      Kupon belanja dikembalikan merugikan konsumen  ,Alesan pakai kupon belanja dana refund dipotong kupon belanja gak dikembalikan   
13126,Tokopedia balikin uang ongkos kirim menipu  Toko onlinenya gak balas chat ,Toko onlinenya gak balas chat 
13127,ngak cod nya ,ngak cod nya 
13128,Bagus,Bagus
13129,Tokopedia  cashback pelit  promo cashback bersamaan bebas ongkir  Biaya pengiriman mahal  Fitur Dilayani Tokopedia gak sebebas dlu bebas ongkir nya  Semoga kedepannya Tokopedia  Update 13 feb 2023  kuota bebeas ongkir serakng 3x minggu member gold  pelit aja  Fix skrg lbh belanja shopee ,Fitur Dilayani Tokopedia gak sebebas dlu bebas ongkir nya 
13130,Beli token listrik banget dikirim nya  anjir lahh jam nungguin smpe mati listrik nya  beli dishopee ehh cepet nunggu beli 2x gua  pelayanan nya lemot Tokopedia Tokopedia ,beli dishopee ehh cepet nunggu beli 2x gua  pelayanan nya lemot Tokopedia Tokopedia 
13131,okeh,okeh
13132,Good,Good
13133,bagusbarang bermutu nggak ribet operasi n nya,bagusbarang bermutu nggak ribet operasi n nya
13134,pelayanan mantaaaf ,pelayanan mantaaaf 
13135,Toko pedia ga diandalkn kenspa pesanan salah pengiriman zne j  t ninja sicepat ko pake estimasi anter ajaa kacau garut ga anter aja boooosss klo garut selatan gimana nih uang masuk kalo ga nyampe pesanan tolong uang kembalikan boss,Toko pedia ga diandalkn kenspa pesanan salah pengiriman zne j  t ninja sicepat ko pake estimasi anter ajaa kacau garut ga anter aja boooosss klo garut selatan gimana nih uang masuk kalo ga nyampe pesanan tolong uang kembalikan boss
13136,Skrg nyampe nya  haddeeh,Skrg nyampe nya  haddeeh
13137,transaksi mudah,transaksi mudah
13138,,
13139,semoga toko pedia gak ribet,semoga toko pedia gak ribet
13140,Akunku dibanned promo promo gratis ongkir ga dipakai  ga melanggar syarat ketentuan  Nyesel setia belanja tokopedia  rugi kali ,Nyesel setia belanja tokopedia 
13141,Kode nya ngga pakai,Kode nya ngga pakai
13142,Fix  lg,Fix  lg
13143,,
13144,mantap,mantap
13145,mudah,mudah
13146,Tokopedia nya sih OK  layanan kurir rekomendasi nya kayak sampah          klo JNE terlibat    barang nya   ,klo JNE terlibat    barang nya   
13147,Habis ganti nomor saldo toko pedia hilang,Habis ganti nomor saldo toko pedia hilang
13148,UDAH 3 PAKET GA PICK UP  PAKE KURIR REKOMENDASI  MENDINGAN MARKETPLACE SEBELAH,MENDINGAN MARKETPLACE SEBELAH
13149,belanja tokopedia memuaskan  puas pelayanan tokopedia yg ramah n cepat respon tokopedia yg ter the best best,puas pelayanan tokopedia yg ramah n cepat respon tokopedia yg ter the best best
13150,senang tokopedia,senang tokopedia
13151,ribet pakainya,ribet pakainya
13152,Tolong Tokopedia versi Ringan nya reel video  belanja app lemot kalo mw buka buka,belanja app lemot kalo mw buka buka
13153,mudah nyaman,mudah nyaman
13154,Top,Top
13155,membantu belanja,membantu belanja
13156,semoga usaha nya lancar,semoga usaha nya lancar
13157,Bagus bgt  murah meriah,Bagus bgt  murah meriah
13158,Tokopedia tu udah bagus banget diskon digabung gratis ongkir  ngga  kalo bintang 12 kasih,Tokopedia tu udah bagus banget diskon digabung gratis ongkir  ngga  kalo bintang 12 kasih
13159,bagus,bagus
13160,kendala akunmu  GK buka Tokopedia  ,
13161,membantu  Bunga ringan  proses cepat  berbelit2,membantu  Bunga ringan  proses cepat  berbelit2
13162,Hahah Hahah Hahah,Hahah Hahah Hahah
13163,mntap,mntap
13164,sampe kecewa ,sampe kecewa 
13165,keren mudah,keren mudah
13166,good apps,good apps
13167,mudah  nyaman  gratis ongkirnya,mudah  nyaman  gratis ongkirnya
13168,Perbaikan  loadingnya,Perbaikan  loadingnya
13169,akses cepat,akses cepat
13170,Buruk,Buruk
13171,mantapppppppp,mantapppppppp
13172,ok,ok
13173,belanja tokopedia krn beliau startup Indonesia,belanja tokopedia krn beliau startup Indonesia
13174,Mantappp cesback ,Mantappp cesback 
13175,kasih bintang 1 maksa banget pakai kurir sicepat ,kasih bintang 1 maksa banget pakai kurir sicepat 
13176,Good,Good
13177,affilite nya  promosi produk temen dianggepnya spam  sampe akun affiliate blokir  DAFTAR AFFILIATE  Mending main yg vidionya aplikasi sebelah ,Mending main yg vidionya aplikasi sebelah 
13178,variatif,variatif
13179,mantap,mantap
13180,wow,wow
13181,great,great
13182,good,good
13183,tokopedia care skrg jasa kirimnya slama seminggu jd klu pkai jasa bebas ongkir etimasi sminggu bkn 3,tokopedia care skrg jasa kirimnya slama seminggu jd klu pkai jasa bebas ongkir etimasi sminggu bkn 3
13184,Tolong update biar ulàsan expedisi biar dilazada  nya 3bulan expedisi lambat,nya 3bulan expedisi lambat
13185,Huu udh pesen bayar barang langsung batalkan tokopedia sungguh kecewaa,Huu udh pesen bayar barang langsung batalkan tokopedia sungguh kecewaa
13186,Free Ongkir tingkatkan,Free Ongkir tingkatkan
13187,ok,ok
13188,mantap,mantap
13189,Bagus,Bagus
13190,coba ya kak  pengguna,coba ya kak  pengguna
13191,Ribet bgt  males kalo beli apa²  Byeee,Byeee
13192,Iklan lu ganggu,Iklan lu ganggu
13193,order cancel tokped  LG butuh barangnya  alasan cancel yg mengerti  terima kasih,order cancel tokped  LG butuh barangnya  alasan cancel yg mengerti  terima kasih
13194,mantap,mantap
13195,Pesanan sdh seminggu blm dikirim  kurir bolak gagal pickup melulu  ajukan pembatalan gak fiturnya  Chat CS yg jwb robot  Dana ambil ngendap tokped  Gak CS yg live  yg ngasih solusi  Payah  ,Dana ambil ngendap tokped 
13196,Aplikasinya bagus  pengirimanny cepat  cuman yg gk enakny batal otomatis  Jd gk seru  yg nipu,cuman yg gk enakny batal otomatis 
13197,good,good
